GeneId	Symbol	#transcripts regulated	total #transcripts for gene	mean log2(fold change) of reg. trans.	min fold change of reg. trans.	max fold change of reg. trans.	fc stddev	min p_value	mean NE(treat.reg.)	stddev NE(treat.reg.)	mean NE(ctrl.reg.)	stddev NE(ctrl.reg.)	mean RPKM(treat.reg.)	stddev RPKM(treat.reg.)	mean RPKM(ctrl.reg.)	stddev RPKM(ctrl.reg.)
17381	Mmp12	51	51	-7.027	-8.178	-6.766	0.298	1.13e-28	0.00069	0.000	0.07081	0.021	0.06207	0.024	8.30489	2.458
245610	Nxf3	3	3	-6.800	-6.800	-6.800	0.000	4.29e-04	0.00005	0.000	0.00596	0.003	0.00491	0.003	0.64872	0.297
110454	Ly6a	3	3	-6.043	-6.083	-6.022	0.029	4.50e-02	0.00030	0.000	0.01828	0.000	0.02664	0.000	1.84019	0.045
13615	Edn2	2	2	-5.982	-6.020	-5.944	0.038	2.70e-41	0.00353	0.000	0.24776	0.009	0.38115	0.006	25.25162	1.089
329626	Gm12541	2	2	-5.088	-5.088	-5.088	0.000	3.41e-16	0.00272	0.000	0.09071	0.000	0.24333	0.000	8.66971	0.000
22445	Xlr3a	8	8	-5.005	-5.508	-4.063	0.627	1.93e-01	0.00013	0.000	0.00394	0.001	0.01145	0.011	0.48288	0.155
75345	Slamf7	9	9	-4.705	-4.816	-4.556	0.114	3.53e-02	0.00018	0.000	0.00522	0.000	0.01599	0.009	0.54837	0.059
320485	B230312C02Rik	3	3	-4.602	-5.508	-3.548	0.807	3.84e-01	0.00038	0.000	0.00684	0.001	0.03419	0.021	0.72879	0.080
100039796	Tgtp2	5	5	-4.537	-4.537	-4.537	0.000	1.00e+00	0.00009	0.000	0.00271	0.001	0.00807	0.005	0.24226	0.050
546726	Cyp26c1	3	3	-4.502	-4.915	-4.032	0.363	4.80e-05	0.00114	0.000	0.02446	0.002	0.11467	0.039	2.57810	0.296
217305	Cd300ld	4	4	-4.448	-4.448	-4.448	0.000	7.14e-01	0.00015	0.000	0.00362	0.001	0.01281	0.007	0.36385	0.048
53313	Atp2a3	11	12	-4.384	-4.478	-4.063	0.145	1.00e+00	0.00005	0.000	0.00113	0.000	0.00480	0.002	0.11510	0.008
245038	Dclk3	5	5	-4.360	-4.375	-4.301	0.030	1.54e-10	0.00142	0.000	0.02852	0.000	0.12697	0.003	2.73142	0.008
246049	Slc36a2	12	12	-4.353	-4.353	-4.353	0.000	1.00e+00	0.00004	0.000	0.00158	0.001	0.00379	0.004	0.15737	0.106
328314	Gm5086	2	2	-4.285	-4.285	-4.285	0.000	1.00e+00	0.00019	0.000	0.00368	0.000	0.01690	0.000	0.34518	0.000
20557	Slfn3	5	5	-4.279	-4.537	-4.215	0.129	5.84e-01	0.00013	0.000	0.00268	0.001	0.01160	0.002	0.23916	0.060
66695	Aspn	7	7	-4.251	-4.251	-4.251	0.000	1.00e+00	0.00015	0.000	0.00330	0.001	0.01345	0.009	0.36863	0.090
18792	Plau	3	3	-4.236	-4.847	-3.930	0.433	9.04e-06	0.00139	0.001	0.02126	0.006	0.12457	0.049	2.25228	0.405
67425	Eps8l1	17	17	-4.218	-5.073	-3.256	0.439	1.29e-18	0.00232	0.001	0.04577	0.018	0.29463	0.098	5.63116	1.459
14173	Fgf2	7	7	-4.144	-4.686	-2.680	0.614	5.68e-05	0.00322	0.003	0.05727	0.007	0.34582	0.224	5.62403	0.640
12491	Cd36	22	23	-4.100	-6.353	-3.594	0.614	4.40e-10	0.00171	0.001	0.02651	0.007	0.19380	0.082	3.23092	0.900
100033459	Pydc3	6	6	-4.074	-4.215	-3.800	0.161	1.00e+00	0.00007	0.000	0.00110	0.001	0.00594	0.005	0.11899	0.054
26904	Sh2d1b1	3	3	-3.994	-4.141	-3.700	0.208	1.00e+00	0.00012	0.000	0.00198	0.000	0.01090	0.003	0.17677	0.022
217212	Pyy	6	6	-3.986	-4.089	-3.630	0.161	5.88e-01	0.00147	0.000	0.01739	0.001	0.13133	0.020	2.16059	0.095
105976	AU022793	2	2	-3.981	-3.981	-3.981	0.000	1.00e+00	0.00015	0.000	0.00244	0.000	0.01383	0.002	0.22861	0.035
20303	Ccl4	7	7	-3.946	-4.141	-3.537	0.259	1.00e+00	0.00027	0.000	0.00705	0.004	0.04748	0.023	0.81465	0.451
19110	Prl4a1	4	4	-3.893	-3.893	-3.893	0.000	1.00e+00	0.00028	0.000	0.00336	0.000	0.02568	0.000	0.39973	0.006
